,Date,Laboratório,Período,Quantidade,Acumulado
0,2020-02,FIOCRUZ,Fev 2020,3,3
1,2020-02,Outros,Fev 2020,5,5
2,2020-03,FIOCRUZ,Mar 2020,62,65
3,2020-03,Outros,Mar 2020,470,475
4,2020-04,FIOCRUZ,Abr 2020,265,330
5,2020-04,Outros,Abr 2020,835,1310
6,2020-05,FIOCRUZ,Mai 2020,140,470
7,2020-05,Outros,Mai 2020,266,1576
8,2020-06,FIOCRUZ,Jun 2020,145,615
9,2020-06,Outros,Jun 2020,271,1847
10,2020-07,FIOCRUZ,Jul 2020,120,735
11,2020-07,Outros,Jul 2020,285,2132
12,2020-08,FIOCRUZ,Ago 2020,159,894
13,2020-08,Outros,Ago 2020,207,2339
14,2020-09,FIOCRUZ,Set 2020,283,1177
15,2020-09,Outros,Set 2020,135,2474
16,2020-10,FIOCRUZ,Out 2020,195,1372
17,2020-10,Outros,Out 2020,235,2709
18,2020-11,FIOCRUZ,Nov 2020,271,1643
19,2020-11,Outros,Nov 2020,480,3189
20,2020-12,FIOCRUZ,Dez 2020,379,2022
21,2020-12,Outros,Dez 2020,605,3794
22,2021-01,FIOCRUZ,Jan 2021,687,2709
23,2021-01,Outros,Jan 2021,1125,4919
24,2021-02,FIOCRUZ,Fev 2021,1177,3886
25,2021-02,Outros,Fev 2021,1363,6282
26,2021-03,FIOCRUZ,Mar 2021,1050,4936
27,2021-03,Outros,Mar 2021,2846,9128
28,2021-04,FIOCRUZ,Abr 2021,1047,5983
29,2021-04,Outros,Abr 2021,3875,13003
30,2021-05,FIOCRUZ,Mai 2021,1493,7476
31,2021-05,Outros,Mai 2021,4643,17646
32,2021-06,FIOCRUZ,Jun 2021,1937,9413
33,2021-06,Outros,Jun 2021,2526,20172
34,2021-07,FIOCRUZ,Jul 2021,1977,11390
35,2021-07,Outros,Jul 2021,1803,21975
36,2021-08,FIOCRUZ,Ago 2021,958,12348
37,2021-08,Outros,Ago 2021,3577,25552
38,2021-09,FIOCRUZ,Set 2021,38,12386
39,2021-09,Outros,Set 2021,319,25871
