,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-11-29,AP,state,124574,Amapá,472,1.24574,378.9
1,2021-11-29,RS,state,1490272,Rio Grande do Sul,2373,14.90272,159.2
2,2021-11-29,SC,state,1232208,Santa Catarina,1390,12.32208,112.8
3,2021-11-29,SE,state,278213,Sergipe,442,2.78213,158.9
4,2021-11-29,RR,state,128397,Roraima,250,1.28397,194.7
5,2021-11-29,PR,state,1578558,Paraná,2441,15.78558,154.6
6,2021-11-29,RN,state,381703,Rio Grande do Norte,713,3.81703,186.8
7,2021-11-29,RJ,state,1342801,Rio de Janeiro,8900,13.42801,662.8
8,2021-11-29,RO,state,277086,Rondônia,180,2.77086,65.0
9,2021-11-29,MG,state,2207289,Minas Gerais,1457,22.07289,66.0
10,2021-11-29,PI,state,331541,Piauí,144,3.31541,43.4
11,2021-11-29,PB,state,460515,Paraíba,1172,4.60515,254.5
12,2021-11-29,TO,state,232575,Tocantins,223,2.32575,95.9
13,2021-11-29,PE,state,639507,Pernambuco,2448,6.39507,382.8
14,2021-11-29,MT,state,552613,Mato Grosso,265,5.52613,48.0
15,2021-11-29,MS,state,378802,Mato Grosso do Sul,459,3.78802,121.2
16,2021-11-29,BA,state,1259483,Bahia,1850,12.59483,146.9
17,2021-11-29,GO,state,935248,Goiás,3157,9.35248,337.6
18,2021-11-29,MA,state,364779,Maranhão,511,3.64779,140.1
19,2021-11-29,CE,state,949695,Ceará,2125,9.49695,223.8
20,2021-11-29,ES,state,620040,Espírito Santo,1127,6.2004,181.8
21,2021-11-29,AL,state,241471,Alagoas,1355,2.41471,561.1
22,2021-11-29,DF,state,517746,Distrito Federal,387,5.17746,74.7
23,2021-11-29,AM,state,429821,Amazonas,3006,4.29821,699.4
24,2021-11-29,AC,state,88213,Acre,229,0.88213,259.6
25,2021-11-29,PA,state,608696,Pará,820,6.08696,134.7
26,2021-11-29,SP,state,4438012,São Paulo,39027,44.38012,879.4
