state,Estado,confirmed,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
RR,Roraima,129086,256,1.29086,198.3
TO,Tocantins,235917,406,2.35917,172.1
RN,Rio Grande do Norte,387542,735,3.87542,189.7
MS,Mato Grosso do Sul,380653,503,3.80653,132.1
AP,Amapá,127080,517,1.2708,406.8
SC,Santa Catarina,1244569,2214,12.44569,177.9
SE,Sergipe,278539,469,2.78539,168.4
RJ,Rio de Janeiro,1356863,11078,13.56863,816.4
RO,Rondônia,284783,196,2.84783,68.8
PR,Paraná,1600140,3504,16.0014,219.0
PB,Paraíba,464590,1462,4.6459,314.7
PI,Piauí,334582,198,3.34582,59.2
PE,Pernambuco,646004,2765,6.46004,428.0
MG,Minas Gerais,2226164,1841,22.26164,82.7
PA,Pará,625982,1090,6.25982,174.1
MT,Mato Grosso,558344,307,5.58344,55.0
BA,Bahia,1271250,2612,12.7125,205.5
GO,Goiás,948282,3460,9.48282,364.9
MA,Maranhão,370747,611,3.70747,164.8
CE,Ceará,957373,2565,9.57373,267.9
ES,Espírito Santo,630389,1226,6.30389,194.5
AL,Alagoas,242108,1654,2.42108,683.2
DF,Distrito Federal,520538,746,5.20538,143.3
AM,Amazonas,433970,3388,4.3397,780.7
AC,Acre,88395,231,0.88395,261.3
RS,Rio Grande do Sul,1508446,2664,15.08446,176.6
SP,São Paulo,4456745,45442,44.56745,1019.6
