Fecha,Laboratorio,Período,Cantidad,Acumulado
2020-01-01,FIOCRUZ,Ene 2020,6,6
2020-01-01,Otros,Ene 2020,9,9
2020-02-01,FIOCRUZ,Feb 2020,3,9
2020-02-01,Otros,Feb 2020,6,15
2020-03-01,FIOCRUZ,Mar 2020,69,78
2020-03-01,Otros,Mar 2020,498,513
2020-04-01,FIOCRUZ,Abr 2020,336,414
2020-04-01,Otros,Abr 2020,1013,1526
2020-05-01,FIOCRUZ,May 2020,159,573
2020-05-01,Otros,May 2020,480,2006
2020-06-01,FIOCRUZ,Jun 2020,169,742
2020-06-01,Otros,Jun 2020,820,2826
2020-07-01,FIOCRUZ,Jul 2020,297,1039
2020-07-01,Otros,Jul 2020,744,3570
2020-08-01,FIOCRUZ,Ago 2020,356,1395
2020-08-01,Otros,Ago 2020,599,4169
2020-09-01,FIOCRUZ,Sep 2020,486,1881
2020-09-01,Otros,Sep 2020,410,4579
2020-10-01,FIOCRUZ,Oct 2020,422,2303
2020-10-01,Otros,Oct 2020,507,5086
2020-11-01,FIOCRUZ,Nov 2020,730,3033
2020-11-01,Otros,Nov 2020,902,5988
2020-12-01,FIOCRUZ,Dic 2020,633,3666
2020-12-01,Otros,Dic 2020,1189,7177
2021-01-01,FIOCRUZ,Ene 2021,905,4571
2021-01-01,Otros,Ene 2021,2416,9593
2021-02-01,FIOCRUZ,Feb 2021,1480,6051
2021-02-01,Otros,Feb 2021,2440,12033
2021-03-01,FIOCRUZ,Mar 2021,1732,7783
2021-03-01,Otros,Mar 2021,5303,17336
2021-04-01,FIOCRUZ,Abr 2021,1789,9572
2021-04-01,Otros,Abr 2021,7677,25013
2021-05-01,FIOCRUZ,May 2021,2556,12128
2021-05-01,Otros,May 2021,7432,32445
2021-06-01,FIOCRUZ,Jun 2021,2834,14962
2021-06-01,Otros,Jun 2021,10399,42844
2021-07-01,FIOCRUZ,Jul 2021,3265,18227
2021-07-01,Otros,Jul 2021,9345,52189
2021-08-01,FIOCRUZ,Ago 2021,3588,21815
2021-08-01,Otros,Ago 2021,10915,63104
2021-09-01,FIOCRUZ,Sep 2021,3545,25360
2021-09-01,Otros,Sep 2021,9940,73044
2021-10-01,FIOCRUZ,Oct 2021,3275,28635
2021-10-01,Otros,Oct 2021,7080,80124
2021-11-01,FIOCRUZ,Nov 2021,3084,31719
2021-11-01,Otros,Nov 2021,7381,87505
2021-12-01,FIOCRUZ,Dic 2021,2888,34607
2021-12-01,Otros,Dic 2021,5570,93075
2022-01-01,FIOCRUZ,Ene 2022,13873,48480
2022-01-01,Otros,Ene 2022,13904,106979
2022-02-01,FIOCRUZ,Feb 2022,2479,50959
2022-02-01,Otros,Feb 2022,10542,117521
2022-03-01,FIOCRUZ,Mar 2022,996,51955
2022-03-01,Otros,Mar 2022,4944,122465
2022-04-01,FIOCRUZ,Abr 2022,489,52444
2022-04-01,Otros,Abr 2022,2490,124955
2022-05-01,FIOCRUZ,May 2022,1960,54404
2022-05-01,Otros,May 2022,5747,130702
2022-06-01,FIOCRUZ,Jun 2022,4918,59322
2022-06-01,Otros,Jun 2022,6188,136890
2022-07-01,FIOCRUZ,Jul 2022,6072,65394
2022-07-01,Otros,Jul 2022,4887,141777
2022-08-01,FIOCRUZ,Ago 2022,922,66316
2022-08-01,Otros,Ago 2022,2348,144125
2022-09-01,FIOCRUZ,Sep 2022,246,66562
2022-09-01,Otros,Sep 2022,452,144577
2022-10-01,FIOCRUZ,Oct 2022,884,67446
2022-10-01,Otros,Oct 2022,974,145551
2022-11-01,FIOCRUZ,Nov 2022,3642,71088
2022-11-01,Otros,Nov 2022,5532,151083
2022-12-01,FIOCRUZ,Dic 2022,2737,73825
2022-12-01,Otros,Dic 2022,3269,154352
2023-01-01,FIOCRUZ,Ene 2023,859,74684
2023-01-01,Otros,Ene 2023,1318,155670
2023-02-01,FIOCRUZ,Feb 2023,1791,76475
2023-02-01,Otros,Feb 2023,831,156501
2023-03-01,FIOCRUZ,Mar 2023,426,76901
2023-03-01,Otros,Mar 2023,1131,157632
2023-04-01,FIOCRUZ,Abr 2023,262,77163
2023-04-01,Otros,Abr 2023,945,158577
2023-05-01,FIOCRUZ,May 2023,283,77446
2023-05-01,Otros,May 2023,935,159512
2023-06-01,FIOCRUZ,Jun 2023,288,77734
2023-06-01,Otros,Jun 2023,637,160149
2023-07-01,FIOCRUZ,Jul 2023,172,77906
2023-07-01,Otros,Jul 2023,245,160394
2023-08-01,FIOCRUZ,Ago 2023,430,78336
2023-08-01,Otros,Ago 2023,263,160657
2023-09-01,FIOCRUZ,Sep 2023,601,78937
2023-09-01,Otros,Sep 2023,240,160897
2023-10-01,FIOCRUZ,Oct 2023,82,79019
2023-10-01,Otros,Oct 2023,55,160952
